epsilon ; nb messages ; time (sec) ; correct
1.0 ; 2 ; 0.0018334388732910156 ; True
0.95 ; 2 ; 0.0009634494781494141 ; True
0.9 ; 2 ; 0.00091552734375 ; True
0.85 ; 2 ; 0.000919342041015625 ; True
0.8 ; 2 ; 0.0008702278137207031 ; True
0.75 ; 2 ; 0.0008924007415771484 ; True
0.7 ; 2 ; 0.001129150390625 ; True
0.65 ; 2 ; 0.0008726119995117188 ; True
0.6 ; 2 ; 0.0008530616760253906 ; True
0.55 ; 2 ; 0.0008959770202636719 ; True
0.5 ; 3 ; 0.002349376678466797 ; True
0.45 ; 3 ; 0.0016093254089355469 ; True
0.4 ; 3 ; 0.0017230510711669922 ; True
0.35 ; 3 ; 0.0016984939575195312 ; True
0.3 ; 4 ; 0.0034317970275878906 ; True
0.25 ; 5 ; 0.005178213119506836 ; True
0.2 ; 6 ; 0.0068051815032958984 ; True
0.15 ; 7 ; 0.01000833511352539 ; True
0.1 ; 11 ; 0.03145194053649902 ; True
0.09 ; 13 ; 0.052573442459106445 ; True
0.08 ; 16 ; 0.10940098762512207 ; True
0.07 ; 17 ; 0.1284806728363037 ; True
0.06 ; 22 ; 0.29091429710388184 ; True
0.05 ; 24 ; 0.38188648223876953 ; True
0.04 ; 36 ; 1.435060739517212 ; True
0.03 ; 80 ; 53.772135496139526 ; False
