epsilon ; nb messages ; time (sec) ; correct
0.95 ; 2 ; 0.0009043216705322266 ; True
0.9 ; 2 ; 0.0008060932159423828 ; True
0.85 ; 2 ; 0.0008137226104736328 ; True
0.8 ; 2 ; 0.0008890628814697266 ; True
0.75 ; 2 ; 0.0009052753448486328 ; True
0.7 ; 2 ; 0.0008141994476318359 ; True
0.65 ; 2 ; 0.0008075237274169922 ; True
0.6 ; 2 ; 0.0009255409240722656 ; True
0.55 ; 2 ; 0.0009870529174804688 ; True
0.5 ; 3 ; 0.003030538558959961 ; True
0.45 ; 3 ; 0.0013580322265625 ; True
0.4 ; 3 ; 0.0017209053039550781 ; True
0.35 ; 3 ; 0.0014581680297851562 ; True
0.3 ; 4 ; 0.002868175506591797 ; True
0.25 ; 5 ; 0.0042819976806640625 ; True
0.2 ; 6 ; 0.004258632659912109 ; True
0.15 ; 8 ; 0.005928754806518555 ; True
0.1 ; 11 ; 0.009559154510498047 ; True
0.09 ; 13 ; 0.013078451156616211 ; True
0.08 ; 15 ; 0.018251895904541016 ; True
0.07 ; 17 ; 0.023089170455932617 ; True
0.06 ; 21 ; 0.03836679458618164 ; True
0.05 ; 25 ; 0.05997753143310547 ; True
0.04 ; 38 ; 0.19759035110473633 ; True
0.03 ; 80 ; 17.6814444065094 ; False
