epsilon ; nb messages ; time (sec) ; correct
1.0 ; 2 ; 0.0017604827880859375 ; True
0.95 ; 2 ; 0.0007998943328857422 ; True
0.9 ; 2 ; 0.0007443428039550781 ; True
0.85 ; 2 ; 0.0008189678192138672 ; True
0.8 ; 2 ; 0.0007967948913574219 ; True
0.75 ; 2 ; 0.0007839202880859375 ; True
0.7 ; 2 ; 0.0009047985076904297 ; True
0.65 ; 2 ; 0.0017275810241699219 ; True
0.6 ; 2 ; 0.0008304119110107422 ; True
0.55 ; 2 ; 0.0008285045623779297 ; True
0.5 ; 3 ; 0.0020864009857177734 ; True
0.45 ; 3 ; 0.0013325214385986328 ; True
0.4 ; 3 ; 0.0013632774353027344 ; True
0.35 ; 3 ; 0.0013623237609863281 ; True
0.3 ; 4 ; 0.0026302337646484375 ; True
0.25 ; 5 ; 0.0031642913818359375 ; True
0.2 ; 6 ; 0.004019260406494141 ; True
0.15 ; 8 ; 0.005808353424072266 ; True
0.1 ; 11 ; 0.008734464645385742 ; True
0.09 ; 14 ; 0.014253616333007812 ; True
0.08 ; 15 ; 0.01662302017211914 ; True
0.07 ; 17 ; 0.02228856086730957 ; True
0.06 ; 21 ; 0.03766298294067383 ; True
0.05 ; 25 ; 0.05995988845825195 ; True
0.04 ; 39 ; 0.21323323249816895 ; True
0.03 ; 80 ; 13.572784900665283 ; False
