epsilon ; nb messages ; time (sec) ; correct
1.0 ; 2 ; 0.0019519329071044922 ; True
0.95 ; 2 ; 0.0009539127349853516 ; True
0.9 ; 2 ; 0.0008533000946044922 ; True
0.85 ; 2 ; 0.0008819103240966797 ; True
0.8 ; 2 ; 0.0009255409240722656 ; True
0.75 ; 2 ; 0.0009338855743408203 ; True
0.7 ; 2 ; 0.0008323192596435547 ; True
0.65 ; 2 ; 0.0010187625885009766 ; True
0.6 ; 2 ; 0.0009069442749023438 ; True
0.55 ; 2 ; 0.0008575916290283203 ; True
0.5 ; 3 ; 0.0022606849670410156 ; True
0.45 ; 3 ; 0.0015587806701660156 ; True
0.4 ; 3 ; 0.0015671253204345703 ; True
0.35 ; 3 ; 0.0015807151794433594 ; True
0.3 ; 4 ; 0.0030875205993652344 ; True
0.25 ; 5 ; 0.003925800323486328 ; True
0.2 ; 6 ; 0.004892110824584961 ; True
0.15 ; 8 ; 0.00744938850402832 ; True
0.1 ; 11 ; 0.012147188186645508 ; True
0.09 ; 13 ; 0.01743316650390625 ; True
0.08 ; 14 ; 0.020285844802856445 ; True
0.07 ; 17 ; 0.032541751861572266 ; True
0.06 ; 20 ; 0.0498201847076416 ; True
0.05 ; 27 ; 0.11229610443115234 ; True
0.04 ; 34 ; 0.21889829635620117 ; True
0.03 ; 73 ; 2.2319998741149902 ; True
0.02 ; 80 ; 31.70064353942871 ; False
