epsilon ; nb messages ; time (sec) ; correct
0.95 ; 2 ; 0.0009713172912597656 ; True
0.9 ; 2 ; 0.0008537769317626953 ; True
0.85 ; 2 ; 0.0008418560028076172 ; True
0.8 ; 2 ; 0.0008370876312255859 ; True
0.75 ; 2 ; 0.0008060932159423828 ; True
0.7 ; 2 ; 0.0009257793426513672 ; True
0.65 ; 2 ; 0.0008461475372314453 ; True
0.6 ; 2 ; 0.0008039474487304688 ; True
0.55 ; 2 ; 0.0008244514465332031 ; True
0.5 ; 3 ; 0.0015268325805664062 ; True
0.45 ; 3 ; 0.0015728473663330078 ; True
0.4 ; 3 ; 0.0015614032745361328 ; True
0.35 ; 3 ; 0.0015740394592285156 ; True
0.3 ; 4 ; 0.0023479461669921875 ; True
0.25 ; 5 ; 0.003136873245239258 ; True
0.2 ; 6 ; 0.004155397415161133 ; True
0.15 ; 8 ; 0.006863117218017578 ; True
0.1 ; 12 ; 0.015332460403442383 ; True
0.09 ; 13 ; 0.01805901527404785 ; True
0.08 ; 14 ; 0.021146774291992188 ; True
0.07 ; 18 ; 0.03839683532714844 ; True
0.06 ; 20 ; 0.050112247467041016 ; True
0.05 ; 27 ; 0.11404991149902344 ; True
0.04 ; 34 ; 0.21616554260253906 ; True
0.03 ; 71 ; 1.9972419738769531 ; True
0.02 ; 80 ; 26.598393201828003 ; False
