epsilon ; nb messages ; time (sec) ; correct
0.5 ; 2 ; 0.008128166198730469 ; True
0.495 ; 3 ; 0.004343748092651367 ; True
0.49 ; 3 ; 0.0022935867309570312 ; True
0.485 ; 3 ; 0.0023446083068847656 ; True
0.48 ; 3 ; 0.0023980140686035156 ; True
0.475 ; 3 ; 0.0023412704467773438 ; True
0.47 ; 3 ; 0.0022783279418945312 ; True
0.465 ; 3 ; 0.002307415008544922 ; True
0.46 ; 3 ; 0.002710103988647461 ; True
0.455 ; 3 ; 0.002473115921020508 ; True
0.45 ; 3 ; 0.002285480499267578 ; True
0.445 ; 3 ; 0.0023529529571533203 ; True
0.44 ; 3 ; 0.0023488998413085938 ; True
0.435 ; 3 ; 0.0025777816772460938 ; True
0.43 ; 3 ; 0.002377033233642578 ; True
0.425 ; 3 ; 0.0023899078369140625 ; True
0.42 ; 3 ; 0.002403736114501953 ; True
0.415 ; 3 ; 0.0024595260620117188 ; True
0.41 ; 3 ; 0.0022666454315185547 ; True
0.405 ; 3 ; 0.0023262500762939453 ; True
0.4 ; 3 ; 0.002503633499145508 ; True
0.395 ; 3 ; 0.0024118423461914062 ; True
0.39 ; 3 ; 0.0023221969604492188 ; True
0.385 ; 3 ; 0.0022220611572265625 ; True
0.38 ; 3 ; 0.002405881881713867 ; True
0.375 ; 3 ; 0.002353191375732422 ; True
0.37 ; 3 ; 0.0027420520782470703 ; True
0.365 ; 3 ; 0.0023136138916015625 ; True
0.36 ; 3 ; 0.0022542476654052734 ; True
0.355 ; 3 ; 0.0023016929626464844 ; True
0.35 ; 3 ; 0.002527475357055664 ; True
0.345 ; 3 ; 0.0023047924041748047 ; True
0.34 ; 4 ; 0.0050928592681884766 ; True
0.335 ; 4 ; 0.0033540725708007812 ; True
0.33 ; 4 ; 0.0033190250396728516 ; True
0.325 ; 4 ; 0.0034973621368408203 ; True
0.32 ; 4 ; 0.0033888816833496094 ; True
0.315 ; 4 ; 0.0033445358276367188 ; True
0.31 ; 4 ; 0.003377199172973633 ; True
0.305 ; 4 ; 0.0035469532012939453 ; True
0.3 ; 4 ; 0.003313779830932617 ; True
0.295 ; 4 ; 0.0032994747161865234 ; True
0.29 ; 4 ; 0.003299713134765625 ; True
0.285 ; 4 ; 0.0033593177795410156 ; True
0.28 ; 4 ; 0.0033273696899414062 ; True
0.275 ; 4 ; 0.003528118133544922 ; True
0.27 ; 4 ; 0.003436565399169922 ; True
0.265 ; 4 ; 0.0037665367126464844 ; True
0.26 ; 5 ; 0.005979776382446289 ; True
0.255 ; 5 ; 0.004476785659790039 ; True
0.25 ; 5 ; 0.00453639030456543 ; True
0.245 ; 5 ; 0.004582643508911133 ; True
0.24 ; 5 ; 0.0044825077056884766 ; True
0.235 ; 5 ; 0.0044133663177490234 ; True
0.23 ; 5 ; 0.0046274662017822266 ; True
0.225 ; 5 ; 0.004553079605102539 ; True
0.22 ; 5 ; 0.004374980926513672 ; True
0.215 ; 5 ; 0.004373788833618164 ; True
0.21 ; 6 ; 0.007804155349731445 ; True
0.205 ; 6 ; 0.005594730377197266 ; True
0.2 ; 6 ; 0.005894660949707031 ; True
0.195 ; 6 ; 0.005797147750854492 ; True
0.19 ; 6 ; 0.005854129791259766 ; True
0.185 ; 6 ; 0.005789279937744141 ; True
0.18 ; 7 ; 0.009495258331298828 ; True
0.175 ; 7 ; 0.00720524787902832 ; True
0.17 ; 7 ; 0.007180213928222656 ; True
0.165 ; 7 ; 0.00706028938293457 ; True
0.16 ; 7 ; 0.0070688724517822266 ; True
0.155 ; 8 ; 0.01017141342163086 ; True
0.15 ; 8 ; 0.008664846420288086 ; True
0.145 ; 8 ; 0.008564949035644531 ; True
0.14 ; 8 ; 0.008377552032470703 ; True
0.135 ; 9 ; 0.012338399887084961 ; True
0.13 ; 9 ; 0.010610342025756836 ; True
0.125 ; 9 ; 0.010020017623901367 ; True
0.12 ; 10 ; 0.014215230941772461 ; True
0.115 ; 10 ; 0.012250661849975586 ; True
0.11 ; 11 ; 0.016767024993896484 ; True
0.105 ; 12 ; 0.019988059997558594 ; True
0.1 ; 12 ; 0.01686263084411621 ; True
0.095 ; 13 ; 0.022225141525268555 ; True
0.09 ; 14 ; 0.025331974029541016 ; True
0.085 ; 16 ; 0.03302311897277832 ; True
0.08 ; 16 ; 0.03157496452331543 ; True
0.075 ; 16 ; 0.03125452995300293 ; True
0.07 ; 18 ; 0.042612552642822266 ; True
0.065 ; 21 ; 0.05897951126098633 ; True
0.06 ; 24 ; 0.08265423774719238 ; True
0.055 ; 29 ; 0.1360948085784912 ; True
0.05 ; 29 ; 0.13310599327087402 ; True
0.045 ; 32 ; 0.17738938331604004 ; True
0.04 ; 45 ; 0.4703361988067627 ; True
