epsilon ; nb messages ; time (sec) ; correct
0.5 ; 3 ; 0.004616260528564453 ; True
0.495 ; 3 ; 0.0024466514587402344 ; True
0.49 ; 3 ; 0.0024106502532958984 ; True
0.485 ; 3 ; 0.0025787353515625 ; True
0.48 ; 3 ; 0.0026154518127441406 ; True
0.475 ; 3 ; 0.0024383068084716797 ; True
0.47 ; 3 ; 0.002653360366821289 ; True
0.465 ; 3 ; 0.0023658275604248047 ; True
0.46 ; 3 ; 0.002605438232421875 ; True
0.455 ; 3 ; 0.0027761459350585938 ; True
0.45 ; 3 ; 0.002729177474975586 ; True
0.445 ; 3 ; 0.0023775100708007812 ; True
0.44 ; 3 ; 0.0023670196533203125 ; True
0.435 ; 3 ; 0.002376556396484375 ; True
0.43 ; 3 ; 0.002588033676147461 ; True
0.425 ; 3 ; 0.002292156219482422 ; True
0.42 ; 3 ; 0.0023789405822753906 ; True
0.415 ; 3 ; 0.002605438232421875 ; True
0.41 ; 3 ; 0.002587556838989258 ; True
0.405 ; 3 ; 0.0022821426391601562 ; True
0.4 ; 3 ; 0.0023796558380126953 ; True
0.395 ; 3 ; 0.0024373531341552734 ; True
0.39 ; 3 ; 0.0025992393493652344 ; True
0.385 ; 3 ; 0.0023174285888671875 ; True
0.38 ; 3 ; 0.005189657211303711 ; True
0.375 ; 3 ; 0.003738880157470703 ; True
0.37 ; 3 ; 0.003217935562133789 ; True
0.365 ; 3 ; 0.0032548904418945312 ; True
0.36 ; 3 ; 0.0029251575469970703 ; True
0.355 ; 3 ; 0.002643108367919922 ; True
0.35 ; 3 ; 0.010704517364501953 ; True
0.345 ; 3 ; 0.005076169967651367 ; True
0.34 ; 3 ; 0.002398967742919922 ; True
0.335 ; 4 ; 0.0056531429290771484 ; True
0.33 ; 4 ; 0.003304719924926758 ; True
0.325 ; 4 ; 0.003289461135864258 ; True
0.32 ; 4 ; 0.003541707992553711 ; True
0.315 ; 4 ; 0.0032417774200439453 ; True
0.31 ; 4 ; 0.0032579898834228516 ; True
0.305 ; 4 ; 0.0037174224853515625 ; True
0.3 ; 4 ; 0.00330352783203125 ; True
0.295 ; 4 ; 0.003532886505126953 ; True
0.29 ; 4 ; 0.003262758255004883 ; True
0.285 ; 4 ; 0.0033457279205322266 ; True
0.28 ; 4 ; 0.003556966781616211 ; True
0.275 ; 4 ; 0.0033416748046875 ; True
0.27 ; 4 ; 0.003301382064819336 ; True
0.265 ; 4 ; 0.003554821014404297 ; True
0.26 ; 5 ; 0.006319999694824219 ; True
0.255 ; 5 ; 0.004809141159057617 ; True
0.25 ; 5 ; 0.004256010055541992 ; True
0.245 ; 5 ; 0.004647970199584961 ; True
0.24 ; 5 ; 0.004358768463134766 ; True
0.235 ; 5 ; 0.0043184757232666016 ; True
0.23 ; 5 ; 0.004727363586425781 ; True
0.225 ; 5 ; 0.004258155822753906 ; True
0.22 ; 5 ; 0.004208087921142578 ; True
0.215 ; 5 ; 0.004769563674926758 ; True
0.21 ; 6 ; 0.008664846420288086 ; True
0.205 ; 6 ; 0.006076812744140625 ; True
0.2 ; 6 ; 0.009930133819580078 ; True
0.195 ; 6 ; 0.007332801818847656 ; True
0.19 ; 6 ; 0.006653308868408203 ; True
0.185 ; 6 ; 0.005892515182495117 ; True
0.18 ; 7 ; 0.009033203125 ; True
0.175 ; 7 ; 0.0073566436767578125 ; True
0.17 ; 7 ; 0.006822347640991211 ; True
0.165 ; 7 ; 0.007007122039794922 ; True
0.16 ; 7 ; 0.0069081783294677734 ; True
0.155 ; 8 ; 0.010905981063842773 ; True
0.15 ; 8 ; 0.008337736129760742 ; True
0.145 ; 8 ; 0.00855398178100586 ; True
0.14 ; 9 ; 0.012271404266357422 ; True
0.135 ; 9 ; 0.010242462158203125 ; True
0.13 ; 9 ; 0.010849714279174805 ; True
0.125 ; 9 ; 0.010524511337280273 ; True
0.12 ; 10 ; 0.015671968460083008 ; True
0.115 ; 10 ; 0.013077735900878906 ; True
0.11 ; 11 ; 0.016910076141357422 ; True
0.105 ; 12 ; 0.018871068954467773 ; True
0.1 ; 12 ; 0.017779827117919922 ; True
0.095 ; 13 ; 0.021944284439086914 ; True
0.09 ; 14 ; 0.02483654022216797 ; True
0.085 ; 15 ; 0.028083086013793945 ; True
0.08 ; 17 ; 0.03612852096557617 ; True
0.075 ; 17 ; 0.034029483795166016 ; True
0.07 ; 17 ; 0.03391623497009277 ; True
0.065 ; 20 ; 0.05208992958068848 ; True
0.06 ; 23 ; 0.07230424880981445 ; True
0.055 ; 32 ; 0.17226505279541016 ; True
0.05 ; 32 ; 0.18084120750427246 ; True
0.045 ; 35 ; 0.22443461418151855 ; True
0.04 ; 51 ; 0.6716034412384033 ; True
0.035 ; 92 ; 161.81982326507568 ; False
