epsilon ; nb messages ; time (sec) ; correct
1.0 ; 2 ; 0.0017786026000976562 ; True
0.95 ; 2 ; 0.0017344951629638672 ; True
0.9 ; 2 ; 0.0019080638885498047 ; True
0.85 ; 2 ; 0.0018846988677978516 ; True
0.8 ; 2 ; 0.0018110275268554688 ; True
0.75 ; 2 ; 0.0018808841705322266 ; True
0.7 ; 2 ; 0.0018002986907958984 ; True
0.65 ; 2 ; 0.0016913414001464844 ; True
0.6 ; 2 ; 0.0016961097717285156 ; True
0.55 ; 2 ; 0.0017573833465576172 ; True
0.5 ; 3 ; 0.0035898685455322266 ; True
0.45 ; 3 ; 0.0035593509674072266 ; True
0.4 ; 3 ; 0.0035142898559570312 ; True
0.35 ; 3 ; 0.0033986568450927734 ; True
0.3 ; 4 ; 0.005749225616455078 ; True
0.25 ; 5 ; 0.00939488410949707 ; True
0.2 ; 6 ; 0.014156103134155273 ; True
0.15 ; 7 ; 0.02002716064453125 ; True
0.1 ; 11 ; 0.07155609130859375 ; True
0.05 ; 25 ; 1.034771203994751 ; True
