epsilon ; nb messages ; time (sec) ; correct
1.0 ; 2 ; 0.0017852783203125 ; True
0.95 ; 2 ; 0.001798868179321289 ; True
0.9 ; 2 ; 0.001779317855834961 ; True
0.85 ; 2 ; 0.0019598007202148438 ; True
0.8 ; 2 ; 0.0018084049224853516 ; True
0.75 ; 2 ; 0.002380847930908203 ; True
0.7 ; 2 ; 0.001855611801147461 ; True
0.65 ; 2 ; 0.0017948150634765625 ; True
0.6 ; 2 ; 0.0017731189727783203 ; True
0.55 ; 2 ; 0.001748800277709961 ; True
0.5 ; 3 ; 0.002911090850830078 ; True
0.45 ; 3 ; 0.0029671192169189453 ; True
0.4 ; 3 ; 0.0029015541076660156 ; True
0.35 ; 3 ; 0.002923250198364258 ; True
0.3 ; 4 ; 0.00428462028503418 ; True
0.25 ; 5 ; 0.005891084671020508 ; True
0.2 ; 6 ; 0.007368326187133789 ; True
0.15 ; 8 ; 0.011372804641723633 ; True
0.1 ; 11 ; 0.019940853118896484 ; True
0.05 ; 24 ; 0.11918115615844727 ; True
