epsilon ; nb messages ; time (sec) ; correct
1.0 ; 2 ; 0.014036178588867188 ; True
0.95 ; 2 ; 0.009534358978271484 ; True
0.9 ; 2 ; 0.009562492370605469 ; True
0.85 ; 2 ; 0.009592771530151367 ; True
0.8 ; 2 ; 0.009541511535644531 ; True
0.75 ; 2 ; 0.009653091430664062 ; True
0.7 ; 2 ; 0.009717226028442383 ; True
0.65 ; 2 ; 0.009544610977172852 ; True
0.6 ; 2 ; 0.013790130615234375 ; True
0.55 ; 2 ; 0.009517669677734375 ; True
0.5 ; 3 ; 0.021013975143432617 ; True
0.45 ; 3 ; 0.02103424072265625 ; True
0.4 ; 3 ; 0.021495580673217773 ; True
0.35 ; 3 ; 0.02113509178161621 ; True
0.3 ; 4 ; 0.03574705123901367 ; True
0.25 ; 5 ; 0.056165218353271484 ; True
0.2 ; 6 ; 0.08489990234375 ; True
0.15 ; 7 ; 0.1266324520111084 ; True
0.1 ; 12 ; 0.5257763862609863 ; True
0.05 ; 24 ; 4.698883295059204 ; True
