epsilon ; nb messages ; time (sec) ; correct
0.95 ; 2 ; 0.009237051010131836 ; True
0.9 ; 2 ; 0.008886575698852539 ; True
0.85 ; 2 ; 0.009035348892211914 ; True
0.8 ; 2 ; 0.00890660285949707 ; True
0.75 ; 2 ; 0.008985519409179688 ; True
0.7 ; 2 ; 0.008975505828857422 ; True
0.65 ; 2 ; 0.0090179443359375 ; True
0.6 ; 2 ; 0.009452342987060547 ; True
0.55 ; 2 ; 0.008814334869384766 ; True
0.5 ; 2 ; 0.008718252182006836 ; True
0.45 ; 3 ; 0.026787996292114258 ; True
0.4 ; 3 ; 0.017279863357543945 ; True
0.35 ; 3 ; 0.017482757568359375 ; True
0.3 ; 4 ; 0.035186767578125 ; True
0.25 ; 5 ; 0.04652667045593262 ; True
0.2 ; 6 ; 0.05824542045593262 ; True
0.15 ; 7 ; 0.06960058212280273 ; True
0.1 ; 11 ; 0.13713669776916504 ; True
0.05 ; 26 ; 0.49459171295166016 ; True
