epsilon ; nb messages ; time (sec) ; correct
1.0 ; 2 ; 0.009934425354003906 ; True
0.95 ; 2 ; 0.00906682014465332 ; True
0.9 ; 2 ; 0.00895547866821289 ; True
0.85 ; 2 ; 0.008738994598388672 ; True
0.8 ; 2 ; 0.008741617202758789 ; True
0.75 ; 2 ; 0.00850367546081543 ; True
0.7 ; 2 ; 0.008462190628051758 ; True
0.65 ; 2 ; 0.008747339248657227 ; True
0.6 ; 2 ; 0.008570671081542969 ; True
0.55 ; 2 ; 0.00830221176147461 ; True
0.5 ; 3 ; 0.017650842666625977 ; True
0.45 ; 3 ; 0.017258644104003906 ; True
0.4 ; 3 ; 0.017221927642822266 ; True
0.35 ; 3 ; 0.017110109329223633 ; True
0.3 ; 4 ; 0.025646209716796875 ; True
0.25 ; 5 ; 0.03842329978942871 ; True
0.2 ; 6 ; 0.05218625068664551 ; True
0.15 ; 7 ; 0.0618433952331543 ; True
0.1 ; 11 ; 0.12861251831054688 ; True
0.05 ; 25 ; 0.84079909324646 ; True
