epsilon ; nb messages ; time (sec) ; correct
1.0 ; 2 ; 0.0016548633575439453 ; True
0.95 ; 2 ; 0.0013878345489501953 ; True
0.9 ; 2 ; 0.0013241767883300781 ; True
0.85 ; 2 ; 0.0013556480407714844 ; True
0.8 ; 2 ; 0.0013582706451416016 ; True
0.75 ; 2 ; 0.0013513565063476562 ; True
0.7 ; 2 ; 0.0013630390167236328 ; True
0.65 ; 2 ; 0.001352548599243164 ; True
0.6 ; 2 ; 0.0015027523040771484 ; True
0.55 ; 2 ; 0.0013723373413085938 ; True
0.5 ; 3 ; 0.002422332763671875 ; True
0.45 ; 3 ; 0.002444744110107422 ; True
0.4 ; 3 ; 0.002252340316772461 ; True
0.35 ; 3 ; 0.0023026466369628906 ; True
0.3 ; 4 ; 0.008452177047729492 ; True
0.25 ; 5 ; 0.00640416145324707 ; True
0.2 ; 6 ; 0.010030269622802734 ; True
0.15 ; 8 ; 0.008399248123168945 ; True
0.1 ; 12 ; 0.01661539077758789 ; True
0.09 ; 14 ; 0.022101163864135742 ; True
0.08 ; 17 ; 0.033822059631347656 ; True
0.07 ; 18 ; 0.03842926025390625 ; True
0.06 ; 23 ; 0.07097768783569336 ; True
0.05 ; 30 ; 0.14130091667175293 ; True
0.04 ; 55 ; 0.8273458480834961 ; True
0.03 ; 70 ; 1.6211538314819336 ; False
