epsilon ; nb messages ; time (sec) ; correct
1.0 ; 2 ; 0.007796049118041992 ; True
0.95 ; 2 ; 0.004713773727416992 ; True
0.9 ; 2 ; 0.004551410675048828 ; True
0.85 ; 2 ; 0.0031385421752929688 ; True
0.8 ; 2 ; 0.002500295639038086 ; True
0.75 ; 2 ; 0.00225830078125 ; True
0.7 ; 2 ; 0.002087116241455078 ; True
0.65 ; 2 ; 0.0020780563354492188 ; True
0.6 ; 2 ; 0.001653909683227539 ; True
0.55 ; 2 ; 0.007287502288818359 ; True
0.5 ; 3 ; 0.007708549499511719 ; True
0.45 ; 3 ; 0.003979921340942383 ; True
0.4 ; 3 ; 0.003180265426635742 ; True
0.35 ; 3 ; 0.006955146789550781 ; True
0.3 ; 4 ; 0.0070836544036865234 ; True
0.25 ; 5 ; 0.010728836059570312 ; True
0.2 ; 6 ; 0.010781526565551758 ; True
0.15 ; 8 ; 0.009325027465820312 ; True
0.1 ; 12 ; 0.016254663467407227 ; True
0.09 ; 14 ; 0.02201080322265625 ; True
0.08 ; 17 ; 0.034101247787475586 ; True
0.07 ; 18 ; 0.03896975517272949 ; True
0.06 ; 24 ; 0.07802820205688477 ; True
0.05 ; 27 ; 0.10795950889587402 ; True
0.04 ; 48 ; 0.6277306079864502 ; True
0.03 ; 70 ; 7.885802268981934 ; False
