epsilon ; nb messages ; time (sec) ; correct
1.0 ; 2 ; 0.0029685497283935547 ; True
0.95 ; 2 ; 0.0013735294342041016 ; True
0.9 ; 2 ; 0.0013470649719238281 ; True
0.85 ; 2 ; 0.0013308525085449219 ; True
0.8 ; 2 ; 0.0013575553894042969 ; True
0.75 ; 2 ; 0.0014464855194091797 ; True
0.7 ; 2 ; 0.0014829635620117188 ; True
0.65 ; 2 ; 0.0013556480407714844 ; True
0.6 ; 2 ; 0.0015022754669189453 ; True
0.55 ; 2 ; 0.0013570785522460938 ; True
0.5 ; 3 ; 0.0034415721893310547 ; True
0.45 ; 3 ; 0.008463621139526367 ; True
0.4 ; 3 ; 0.0053577423095703125 ; True
0.35 ; 3 ; 0.004202365875244141 ; True
0.3 ; 4 ; 0.005898714065551758 ; True
0.25 ; 5 ; 0.011948585510253906 ; True
0.2 ; 6 ; 0.006548881530761719 ; True
0.15 ; 8 ; 0.008029460906982422 ; True
0.1 ; 12 ; 0.0160677433013916 ; True
0.09 ; 14 ; 0.022057056427001953 ; True
0.08 ; 17 ; 0.035436153411865234 ; True
0.07 ; 18 ; 0.04036426544189453 ; True
0.06 ; 24 ; 0.08022165298461914 ; True
0.05 ; 30 ; 0.14403223991394043 ; True
0.04 ; 43 ; 4.076292991638184 ; True
0.03 ; 48 ; 132.37823915481567 ; False
