epsilon ; nb messages ; time (sec) ; correct
1.0 ; 2 ; 0.0019462108612060547 ; True
0.95 ; 2 ; 0.0018260478973388672 ; True
0.9 ; 2 ; 0.0016176700592041016 ; True
0.85 ; 2 ; 0.0017781257629394531 ; True
0.8 ; 2 ; 0.0015506744384765625 ; True
0.75 ; 2 ; 0.0014615058898925781 ; True
0.7 ; 2 ; 0.0014567375183105469 ; True
0.65 ; 2 ; 0.0015645027160644531 ; True
0.6 ; 2 ; 0.0016574859619140625 ; True
0.55 ; 2 ; 0.0050411224365234375 ; True
0.5 ; 3 ; 0.008293628692626953 ; True
0.45 ; 3 ; 0.0041501522064208984 ; True
0.4 ; 3 ; 0.0034432411193847656 ; True
0.35 ; 3 ; 0.0029833316802978516 ; True
0.3 ; 4 ; 0.006208658218383789 ; True
0.25 ; 5 ; 0.008561372756958008 ; True
0.2 ; 6 ; 0.011215686798095703 ; True
0.15 ; 8 ; 0.021198749542236328 ; True
0.1 ; 12 ; 0.06272721290588379 ; True
0.09 ; 14 ; 0.09819769859313965 ; True
0.08 ; 17 ; 0.17937541007995605 ; True
0.07 ; 20 ; 0.2935450077056885 ; True
0.06 ; 24 ; 0.541391134262085 ; True
0.05 ; 30 ; 1.109147548675537 ; True
0.04 ; 47 ; 3.762162208557129 ; True
0.03 ; 70 ; 9.423520565032959 ; False
