epsilon ; nb messages ; time (sec) ; correct
1.0 ; 2 ; 0.015038490295410156 ; True
0.95 ; 2 ; 0.007973432540893555 ; True
0.9 ; 2 ; 0.005445957183837891 ; True
0.85 ; 2 ; 0.004702091217041016 ; True
0.8 ; 2 ; 0.0031893253326416016 ; True
0.75 ; 2 ; 0.004934787750244141 ; True
0.7 ; 2 ; 0.0032532215118408203 ; True
0.65 ; 2 ; 0.004816532135009766 ; True
0.6 ; 2 ; 0.0054569244384765625 ; True
0.55 ; 2 ; 0.0033981800079345703 ; True
0.5 ; 3 ; 0.010415077209472656 ; True
0.45 ; 3 ; 0.004934549331665039 ; True
0.4 ; 3 ; 0.003868579864501953 ; True
0.35 ; 3 ; 0.007877349853515625 ; True
0.3 ; 4 ; 0.010849237442016602 ; True
0.25 ; 5 ; 0.012613296508789062 ; True
0.2 ; 6 ; 0.010857343673706055 ; True
0.15 ; 8 ; 0.020328044891357422 ; True
0.1 ; 12 ; 0.06128430366516113 ; True
0.09 ; 14 ; 0.09887957572937012 ; True
0.08 ; 17 ; 0.1832265853881836 ; True
0.07 ; 18 ; 0.21805644035339355 ; True
0.06 ; 23 ; 0.5036115646362305 ; True
0.05 ; 30 ; 1.56129789352417 ; True
0.04 ; 42 ; 139.99871730804443 ; True
0.03 ; 42 ; 139.99871730804443 ; True
