epsilon ; nb messages ; time (sec) ; correct
0.5 ; 3 ; 0.010768890380859375 ; True
0.495 ; 3 ; 0.007327079772949219 ; True
0.49 ; 3 ; 0.00738215446472168 ; True
0.485 ; 3 ; 0.007441282272338867 ; True
0.48 ; 3 ; 0.007303953170776367 ; True
0.475 ; 3 ; 0.007363319396972656 ; True
0.47 ; 3 ; 0.00732731819152832 ; True
0.465 ; 3 ; 0.0078105926513671875 ; True
0.46 ; 3 ; 0.007258415222167969 ; True
0.455 ; 3 ; 0.00728917121887207 ; True
0.45 ; 3 ; 0.006722211837768555 ; True
0.445 ; 3 ; 0.007345438003540039 ; True
0.44 ; 3 ; 0.007362842559814453 ; True
0.435 ; 3 ; 0.007361412048339844 ; True
0.43 ; 3 ; 0.007313966751098633 ; True
0.425 ; 3 ; 0.007357358932495117 ; True
0.42 ; 3 ; 0.007368803024291992 ; True
0.415 ; 3 ; 0.007299900054931641 ; True
0.41 ; 3 ; 0.00723576545715332 ; True
0.405 ; 3 ; 0.007352352142333984 ; True
0.4 ; 3 ; 0.007362842559814453 ; True
0.395 ; 3 ; 0.007327079772949219 ; True
0.39 ; 3 ; 0.007312297821044922 ; True
0.385 ; 3 ; 0.007327556610107422 ; True
0.38 ; 3 ; 0.00738215446472168 ; True
0.375 ; 3 ; 0.00784158706665039 ; True
0.37 ; 3 ; 0.007313251495361328 ; True
0.365 ; 3 ; 0.007277965545654297 ; True
0.36 ; 3 ; 0.007327079772949219 ; True
0.355 ; 3 ; 0.007328033447265625 ; True
0.35 ; 3 ; 0.007396221160888672 ; True
0.345 ; 3 ; 0.0072612762451171875 ; True
0.34 ; 4 ; 0.013711690902709961 ; True
0.335 ; 4 ; 0.010121345520019531 ; True
0.33 ; 4 ; 0.010139942169189453 ; True
0.325 ; 4 ; 0.010993003845214844 ; True
0.32 ; 4 ; 0.01025700569152832 ; True
0.315 ; 4 ; 0.010894775390625 ; True
0.31 ; 4 ; 0.010395526885986328 ; True
0.305 ; 4 ; 0.010910511016845703 ; True
0.3 ; 4 ; 0.010215282440185547 ; True
0.295 ; 4 ; 0.010193347930908203 ; True
0.29 ; 4 ; 0.010945558547973633 ; True
0.285 ; 4 ; 0.010866641998291016 ; True
0.28 ; 4 ; 0.010081768035888672 ; True
0.275 ; 4 ; 0.010157585144042969 ; True
0.27 ; 4 ; 0.011549234390258789 ; True
0.265 ; 4 ; 0.010937929153442383 ; True
0.26 ; 4 ; 0.010143518447875977 ; True
0.255 ; 5 ; 0.017673254013061523 ; True
0.25 ; 5 ; 0.01405024528503418 ; True
0.245 ; 5 ; 0.01424717903137207 ; True
0.24 ; 5 ; 0.014171838760375977 ; True
0.235 ; 5 ; 0.01415872573852539 ; True
0.23 ; 5 ; 0.014133691787719727 ; True
0.225 ; 5 ; 0.014021635055541992 ; True
0.22 ; 5 ; 0.014207124710083008 ; True
0.215 ; 5 ; 0.014160394668579102 ; True
0.21 ; 5 ; 0.014042139053344727 ; True
0.205 ; 6 ; 0.022329330444335938 ; True
0.2 ; 6 ; 0.018756866455078125 ; True
0.195 ; 6 ; 0.018604278564453125 ; True
0.19 ; 6 ; 0.018694162368774414 ; True
0.185 ; 6 ; 0.01851487159729004 ; True
0.18 ; 6 ; 0.018904447555541992 ; True
0.175 ; 7 ; 0.027211427688598633 ; True
0.17 ; 7 ; 0.023372411727905273 ; True
0.165 ; 7 ; 0.023810386657714844 ; True
0.16 ; 7 ; 0.02376842498779297 ; True
0.155 ; 7 ; 0.02348804473876953 ; True
0.15 ; 8 ; 0.03209853172302246 ; True
0.145 ; 8 ; 0.028882980346679688 ; True
0.14 ; 8 ; 0.029503822326660156 ; True
0.135 ; 8 ; 0.02873706817626953 ; True
0.13 ; 9 ; 0.03929853439331055 ; True
0.125 ; 9 ; 0.03436112403869629 ; True
0.12 ; 10 ; 0.0450131893157959 ; True
0.115 ; 10 ; 0.04273176193237305 ; True
0.11 ; 11 ; 0.052999019622802734 ; True
0.105 ; 11 ; 0.05115842819213867 ; True
0.1 ; 11 ; 0.05141115188598633 ; True
0.095 ; 12 ; 0.06285977363586426 ; True
0.09 ; 13 ; 0.07317113876342773 ; True
0.085 ; 14 ; 0.08661031723022461 ; True
0.08 ; 16 ; 0.11463642120361328 ; True
0.075 ; 16 ; 0.11163616180419922 ; True
0.07 ; 18 ; 0.14992761611938477 ; True
0.065 ; 19 ; 0.17415666580200195 ; True
0.06 ; 21 ; 0.2154684066772461 ; True
0.055 ; 26 ; 0.37270402908325195 ; True
0.05 ; 26 ; 0.36763429641723633 ; True
0.045 ; 29 ; 0.49168825149536133 ; True
0.04 ; 39 ; 1.088303804397583 ; True
