epsilon ; nb messages ; time (sec) ; correct
0.5 ; 3 ; 0.010797739028930664 ; True
0.495 ; 3 ; 0.00725102424621582 ; True
0.49 ; 3 ; 0.007241487503051758 ; True
0.485 ; 3 ; 0.007212400436401367 ; True
0.48 ; 3 ; 0.007203102111816406 ; True
0.475 ; 3 ; 0.007208347320556641 ; True
0.47 ; 3 ; 0.007128238677978516 ; True
0.465 ; 3 ; 0.0071718692779541016 ; True
0.46 ; 3 ; 0.007107257843017578 ; True
0.455 ; 3 ; 0.007178783416748047 ; True
0.45 ; 3 ; 0.007046937942504883 ; True
0.445 ; 3 ; 0.00714564323425293 ; True
0.44 ; 3 ; 0.006705045700073242 ; True
0.435 ; 3 ; 0.007104635238647461 ; True
0.43 ; 3 ; 0.007204532623291016 ; True
0.425 ; 3 ; 0.007084846496582031 ; True
0.42 ; 3 ; 0.0071146488189697266 ; True
0.415 ; 3 ; 0.00661158561706543 ; True
0.41 ; 3 ; 0.007044792175292969 ; True
0.405 ; 3 ; 0.00714421272277832 ; True
0.4 ; 3 ; 0.007148027420043945 ; True
0.395 ; 3 ; 0.007140159606933594 ; True
0.39 ; 3 ; 0.007197856903076172 ; True
0.385 ; 3 ; 0.0071260929107666016 ; True
0.38 ; 3 ; 0.007177829742431641 ; True
0.375 ; 3 ; 0.007116794586181641 ; True
0.37 ; 3 ; 0.00719451904296875 ; True
0.365 ; 3 ; 0.00710296630859375 ; True
0.36 ; 3 ; 0.007134914398193359 ; True
0.355 ; 3 ; 0.007165670394897461 ; True
0.35 ; 4 ; 0.013971567153930664 ; True
0.345 ; 4 ; 0.010037899017333984 ; True
0.34 ; 4 ; 0.009634256362915039 ; True
0.335 ; 4 ; 0.010434389114379883 ; True
0.33 ; 4 ; 0.010390520095825195 ; True
0.325 ; 4 ; 0.009773731231689453 ; True
0.32 ; 4 ; 0.009726524353027344 ; True
0.315 ; 4 ; 0.010454654693603516 ; True
0.31 ; 4 ; 0.010399103164672852 ; True
0.305 ; 4 ; 0.010800838470458984 ; True
0.3 ; 4 ; 0.009711027145385742 ; True
0.295 ; 4 ; 0.010426998138427734 ; True
0.29 ; 4 ; 0.010381698608398438 ; True
0.285 ; 4 ; 0.009768962860107422 ; True
0.28 ; 4 ; 0.010489702224731445 ; True
0.275 ; 4 ; 0.010370492935180664 ; True
0.27 ; 4 ; 0.010392904281616211 ; True
0.265 ; 4 ; 0.010448694229125977 ; True
0.26 ; 5 ; 0.016672134399414062 ; True
0.255 ; 5 ; 0.013255596160888672 ; True
0.25 ; 5 ; 0.013228654861450195 ; True
0.245 ; 5 ; 0.013268709182739258 ; True
0.24 ; 5 ; 0.013241291046142578 ; True
0.235 ; 5 ; 0.013228416442871094 ; True
0.23 ; 5 ; 0.013334035873413086 ; True
0.225 ; 5 ; 0.014597654342651367 ; True
0.22 ; 5 ; 0.013266563415527344 ; True
0.215 ; 5 ; 0.013818979263305664 ; True
0.21 ; 6 ; 0.02047109603881836 ; True
0.205 ; 6 ; 0.019378185272216797 ; True
0.2 ; 6 ; 0.017301559448242188 ; True
0.195 ; 6 ; 0.017460346221923828 ; True
0.19 ; 6 ; 0.017516613006591797 ; True
0.185 ; 6 ; 0.01716780662536621 ; True
0.18 ; 6 ; 0.018324613571166992 ; True
0.175 ; 6 ; 0.01747417449951172 ; True
0.17 ; 7 ; 0.025318145751953125 ; True
0.165 ; 7 ; 0.02156352996826172 ; True
0.16 ; 7 ; 0.02167224884033203 ; True
0.155 ; 8 ; 0.029357194900512695 ; True
0.15 ; 8 ; 0.026786088943481445 ; True
0.145 ; 8 ; 0.026623249053955078 ; True
0.14 ; 8 ; 0.026385068893432617 ; True
0.135 ; 8 ; 0.02588057518005371 ; True
0.13 ; 9 ; 0.039467811584472656 ; True
0.125 ; 9 ; 0.0315089225769043 ; True
0.12 ; 10 ; 0.041948795318603516 ; True
0.115 ; 10 ; 0.038414716720581055 ; True
0.11 ; 10 ; 0.03706073760986328 ; True
0.105 ; 11 ; 0.04942607879638672 ; True
0.1 ; 12 ; 0.05669665336608887 ; True
0.095 ; 12 ; 0.05197262763977051 ; True
0.09 ; 13 ; 0.06421351432800293 ; True
0.085 ; 14 ; 0.07408905029296875 ; True
0.08 ; 16 ; 0.09483695030212402 ; True
0.075 ; 16 ; 0.09189319610595703 ; True
0.07 ; 16 ; 0.09122133255004883 ; True
0.065 ; 19 ; 0.13873577117919922 ; True
0.06 ; 21 ; 0.1772291660308838 ; True
0.055 ; 24 ; 0.24551868438720703 ; True
0.05 ; 25 ; 0.26595425605773926 ; True
0.045 ; 32 ; 0.5129072666168213 ; True
0.04 ; 44 ; 1.2528281211853027 ; True
0.035 ; 52 ; 2.040961980819702 ; True
0.03 ; 80 ; 122.96922492980957 ; False
