epsilon ; nb messages ; time (sec) ; correct
0.5 ; 3 ; 0.00999140739440918 ; True
0.495 ; 3 ; 0.007136821746826172 ; True
0.49 ; 3 ; 0.00710749626159668 ; True
0.485 ; 3 ; 0.007066965103149414 ; True
0.48 ; 3 ; 0.007097721099853516 ; True
0.475 ; 3 ; 0.007062673568725586 ; True
0.47 ; 3 ; 0.007059812545776367 ; True
0.465 ; 3 ; 0.007029533386230469 ; True
0.46 ; 3 ; 0.007528543472290039 ; True
0.455 ; 3 ; 0.007130861282348633 ; True
0.45 ; 3 ; 0.007166147232055664 ; True
0.445 ; 3 ; 0.007080793380737305 ; True
0.44 ; 3 ; 0.007053852081298828 ; True
0.435 ; 3 ; 0.007105350494384766 ; True
0.43 ; 3 ; 0.0070493221282958984 ; True
0.425 ; 3 ; 0.007054805755615234 ; True
0.42 ; 3 ; 0.007006406784057617 ; True
0.415 ; 3 ; 0.006731271743774414 ; True
0.41 ; 3 ; 0.007069826126098633 ; True
0.405 ; 3 ; 0.007123708724975586 ; True
0.4 ; 3 ; 0.007151126861572266 ; True
0.395 ; 3 ; 0.00703883171081543 ; True
0.39 ; 3 ; 0.007086992263793945 ; True
0.385 ; 3 ; 0.007132768630981445 ; True
0.38 ; 3 ; 0.007036924362182617 ; True
0.375 ; 3 ; 0.007089138031005859 ; True
0.37 ; 3 ; 0.00750279426574707 ; True
0.365 ; 3 ; 0.007008790969848633 ; True
0.36 ; 3 ; 0.00713348388671875 ; True
0.355 ; 3 ; 0.007054328918457031 ; True
0.35 ; 3 ; 0.0071070194244384766 ; True
0.345 ; 4 ; 0.013493776321411133 ; True
0.34 ; 4 ; 0.010347366333007812 ; True
0.335 ; 4 ; 0.010283708572387695 ; True
0.33 ; 4 ; 0.01032876968383789 ; True
0.325 ; 4 ; 0.010275602340698242 ; True
0.32 ; 4 ; 0.010184526443481445 ; True
0.315 ; 4 ; 0.010306596755981445 ; True
0.31 ; 4 ; 0.010383129119873047 ; True
0.305 ; 4 ; 0.009651660919189453 ; True
0.3 ; 4 ; 0.01178121566772461 ; True
0.295 ; 4 ; 0.010377645492553711 ; True
0.29 ; 4 ; 0.00973367691040039 ; True
0.285 ; 4 ; 0.010387420654296875 ; True
0.28 ; 4 ; 0.009688377380371094 ; True
0.275 ; 4 ; 0.00959634780883789 ; True
0.27 ; 4 ; 0.010160684585571289 ; True
0.265 ; 4 ; 0.010392904281616211 ; True
0.26 ; 5 ; 0.016176939010620117 ; True
0.255 ; 5 ; 0.013551712036132812 ; True
0.25 ; 5 ; 0.01430368423461914 ; True
0.245 ; 5 ; 0.013075590133666992 ; True
0.24 ; 5 ; 0.013243913650512695 ; True
0.235 ; 5 ; 0.013183355331420898 ; True
0.23 ; 5 ; 0.013333797454833984 ; True
0.225 ; 5 ; 0.013175487518310547 ; True
0.22 ; 5 ; 0.013264894485473633 ; True
0.215 ; 5 ; 0.013178110122680664 ; True
0.21 ; 6 ; 0.02132391929626465 ; True
0.205 ; 6 ; 0.016797542572021484 ; True
0.2 ; 6 ; 0.018390655517578125 ; True
0.195 ; 6 ; 0.017189979553222656 ; True
0.19 ; 6 ; 0.017356395721435547 ; True
0.185 ; 6 ; 0.016996145248413086 ; True
0.18 ; 7 ; 0.025443077087402344 ; True
0.175 ; 7 ; 0.02178478240966797 ; True
0.17 ; 7 ; 0.02129077911376953 ; True
0.165 ; 7 ; 0.02154827117919922 ; True
0.16 ; 8 ; 0.029924392700195312 ; True
0.155 ; 8 ; 0.02568507194519043 ; True
0.15 ; 8 ; 0.026317358016967773 ; True
0.145 ; 8 ; 0.0260162353515625 ; True
0.14 ; 9 ; 0.034371376037597656 ; True
0.135 ; 9 ; 0.030652523040771484 ; True
0.13 ; 9 ; 0.03165411949157715 ; True
0.125 ; 9 ; 0.031499385833740234 ; True
0.12 ; 10 ; 0.041730642318725586 ; True
0.115 ; 10 ; 0.0369570255279541 ; True
0.11 ; 11 ; 0.04748415946960449 ; True
0.105 ; 12 ; 0.0556032657623291 ; True
0.1 ; 12 ; 0.05171084403991699 ; True
0.095 ; 12 ; 0.050089359283447266 ; True
0.09 ; 14 ; 0.07374238967895508 ; True
0.085 ; 15 ; 0.08414196968078613 ; True
0.08 ; 16 ; 0.09575700759887695 ; True
0.075 ; 17 ; 0.10685586929321289 ; True
0.07 ; 18 ; 0.12198591232299805 ; True
0.065 ; 21 ; 0.1780412197113037 ; True
0.06 ; 25 ; 0.27068471908569336 ; True
0.055 ; 29 ; 0.39603304862976074 ; True
0.05 ; 30 ; 0.4296543598175049 ; True
0.045 ; 36 ; 0.7157251834869385 ; True
0.04 ; 46 ; 1.4245657920837402 ; True
